sample	treatment	gene_id	cell_line	norm_counts
WT	1	UNC93B1	WT	132.43807535
WT	1	UNC93B1	WT	391.64418067
WT	1	UNC93B1	WT	240.50764133
WT	1	UNC93B1	WT	259.15392786
WT	1	UNC93B1	WT	575.79736118
WT	1	UNC93B1	WT	199.36664712
WT	1	UNC93B1	WT	559.66272306
WT	1	UNC93B1	WT	477.58614125
WT	0	UNC93B1	WT	739.66500835
WT	0	UNC93B1	WT	434.64185083
WT	0	UNC93B1	WT	617.74410818
WT	0	UNC93B1	WT	292.96747594
WT	0	UNC93B1	WT	605.45305535
WT	0	UNC93B1	WT	362.83490699
WT	0	UNC93B1	WT	132.43807535
WT	0	UNC93B1	WT	391.64418067
